Device: PGD148         Date: 2015.11.24
Name;ID;Reg ID;Menu;Type;User rights;Nonvolatile;Min value;Max value;Short name;Print format;Name;Value
CPU8000 ;$10;$33;$11;u8;ASr;NV;0;1;SyncM;[Internal,External];Synchronization mode;Internal
CPU8000 ;$10;$36;$15;u16;AUrS;NV;50;1000;QSWAdjDly;%dus;QSW Adjustment output delay;250
CPU8000 ;$10;$38;$15;u8;AUrS;NV;0;2;Energy;[OFF,Adjust,MAX];Output Energy level;MAX
CPU8000 ;$10;$3C;$15;u8;AUS;;0;2;BatchM;[Continuous,Burst,Trigger];Continuous / Burst mode / Trigger burst;Continuous
CPU8000 ;$10;$10;$0;u8;AUS;NV;0;1;State;[OFF,ON,FAULT];Power;ON
11PMK   ;$38;$14;$A;u16;ArUrSr;;0;65535;W;%.3fW;Power;3.904
TK6 SH  ;$2C;$12;$2;s16;AUrS;NV;-2300;26600;Tset;%.2fC;Set temperature;54.85
TK6 TH  ;$2D;$12;$2;s16;AUrS;NV;-2300;26600;Tset;%.2fC;Set temperature;47.65
CPU8000 ;$10;$3A;$15;u16;AUS;;1;50000;Pack;%u;Burst length;1
CPU8000 ;$10;$32;$15;s32;AUS;NV;-100000;100000;SyncOutDly;%dus;Sync Out delay;0
CPU8000 ;$10;$31;$12;u16;AS;NV;1;11000;RepRate;%.1fHz;Repetition rate;100.0
CPU8000 ;$10;$13;$4;u16;ArUrSr;;0;1300;Idisp;%.1fA;Display Current;150.4
CPU8000 ;$10;$28;$31;u8;ArUrSr;;0;2;IntlED;[OK,NOT OK,Defeated];External interlock state;Defeated
CPU8000 ;$10;$41;$31;u8;ArUrSr;;0;2;IntlC3D;[OK,NOT OK,Defeated];Cooling interlock 3 state;OK
CPU8000 ;$10;$43;$31;u8;ArUrSr;;0;2;IntlFlD;[OK,NOT OK,Defeated];Flow interlock state;OK
CPU8000 ;$10;$3B;$15;u16;ArUrSr;;1;50000;Pack;%u;Burst pulses to go;0
FOPO    ;$1D;$38;$2;u8;ArUrSr;;0;5;;[Off,Initiation,Tuning...,Ok.,Fault,No Power];Motor Status;Ok.
SOPO    ;$1E;$38;$2;u8;ArUrSr;;0;5;;[Off,Initiation,Tuning...,Ok.,Fault,No Power];Motor Status;Ok.
SFG     ;$20;$38;$2;u8;ArUrSr;;0;5;;[Off,Initiation,Tuning...,Ok.,Fault,No Power];Motor Status;Ok.
SH      ;$21;$38;$2;u8;ArUrSr;;0;5;;[Off,Initiation,Tuning...,Ok.,Fault,No Power];Motor Status;Ok.
HV+4-4kV;$28;$9;$F;u32;ArUrSr;;0;4294967295;Version;%06u;Firmware HV+4-4kV;140212
MidiOPG ;$1F;$10;$0;float;AUS;NV;3;2600;;%0.2f nm;WaveLength;450.00
CPU8000 ;$10;$39;$15;u16;AUS;NV;1;5000;FDivider;%u;Frequency divider;1
MidiOPG ;$1F;$11;$1;u8;AUS;;0;3;;[Off,Initiation,Tuning...,Ok.];Status;Ok.
MidiOPG ;$1F;$13;$3;u8;AUS;NV;0;1;;[No SCU,SCU];Configuration;No SCU
MidiOPGS;$22;$11;$1;u8;AUS;;0;3;;[Off,Initiation,Tuning...,Ok.];Status;Ok.
PBP2    ;$23;$38;$2;u8;ArUrSr;;0;5;;[Off,Initiation,Tuning...,Ok.,Fault,No Power];Motor Status;Ok.
PBP1    ;$24;$38;$2;u8;ArUrSr;;0;5;;[Off,Initiation,Tuning...,Ok.,Fault,No Power];Motor Status;Ok.
DUV     ;$25;$38;$2;u8;ArUrSr;;0;5;;[Off,Initiation,Tuning...,Ok.,Fault,No Power];Motor Status;Ok.
__license:89f0f7978bcd6af51e345a31a3468018
